,key_0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,track_id,track_name,country
37,6wAgdQ4x74ObJM3kmfVLoJ,0.354,0.205,0.0,-15.091,1.0,0.032,0.879,0.931,0.0828,0.407,93.595,audio_features,6wAgdQ4x74ObJM3kmfVLoJ,spotify:track:6wAgdQ4x74ObJM3kmfVLoJ,https://api.spotify.com/v1/tracks/6wAgdQ4x74ObJM3kmfVLoJ,https://api.spotify.com/v1/audio-analysis/6wAgdQ4x74ObJM3kmfVLoJ,84933.0,4.0,,6wAgdQ4x74ObJM3kmfVLoJ,"Central African Republic: La Renaissance (The Rebirth), ""Oh! Central Africa…""",Central African Republic
38,59HrvgIEwqqPy5YJ2hACWK,0.633,0.187,10.0,-17.917,1.0,0.0456,0.896,0.911,0.172,0.479,108.321,audio_features,59HrvgIEwqqPy5YJ2hACWK,spotify:track:59HrvgIEwqqPy5YJ2hACWK,https://api.spotify.com/v1/tracks/59HrvgIEwqqPy5YJ2hACWK,https://api.spotify.com/v1/audio-analysis/59HrvgIEwqqPy5YJ2hACWK,79853.0,4.0,,59HrvgIEwqqPy5YJ2hACWK,"Chad: La Tchadienne (The Song of Chad), ""Oh, my Country, may God protect you…""",Chad
39,2jAbQRc92My1NhmBpsaYrH,0.604,0.342,3.0,-18.366,1.0,0.0548,0.833,0.958,0.211,0.536,114.264,audio_features,2jAbQRc92My1NhmBpsaYrH,spotify:track:2jAbQRc92My1NhmBpsaYrH,https://api.spotify.com/v1/tracks/2jAbQRc92My1NhmBpsaYrH,https://api.spotify.com/v1/audio-analysis/2jAbQRc92My1NhmBpsaYrH,126560.0,4.0,,2jAbQRc92My1NhmBpsaYrH,National Anthem of Chile (Chile) [Arr. P. Breiner],National Anthem of Chile (Chile) 
40,0Jy4t3XLkajj3JDrmhxqqm,0.58,0.206,7.0,-16.009,1.0,0.0456,0.91,0.975,0.0841,0.584,96.92,audio_features,0Jy4t3XLkajj3JDrmhxqqm,spotify:track:0Jy4t3XLkajj3JDrmhxqqm,https://api.spotify.com/v1/tracks/0Jy4t3XLkajj3JDrmhxqqm,https://api.spotify.com/v1/audio-analysis/0Jy4t3XLkajj3JDrmhxqqm,52333.0,4.0,,0Jy4t3XLkajj3JDrmhxqqm,The March of the Volunteers (People's Republic of China) [Arr. P. Breiner],The March of the Volunteers (People's Republic of China) 
41,63lR4nMRhf5gXuqxGzmCRV,0.574,0.125,3.0,-17.525,1.0,0.0323,0.922,0.699,0.148,0.501,105.331,audio_features,63lR4nMRhf5gXuqxGzmCRV,spotify:track:63lR4nMRhf5gXuqxGzmCRV,https://api.spotify.com/v1/tracks/63lR4nMRhf5gXuqxGzmCRV,https://api.spotify.com/v1/audio-analysis/63lR4nMRhf5gXuqxGzmCRV,160293.0,4.0,,63lR4nMRhf5gXuqxGzmCRV,National Anthem of the Republic of Colombia (Colombia) [Arr. P. Breiner],National Anthem of the Republic of Colombia (Colombia) 
42,73tUN6i5pduySUdrtGmhud,0.565,0.231,5.0,-17.443,1.0,0.0293,0.854,0.891,0.378,0.727,107.906,audio_features,73tUN6i5pduySUdrtGmhud,spotify:track:73tUN6i5pduySUdrtGmhud,https://api.spotify.com/v1/tracks/73tUN6i5pduySUdrtGmhud,https://api.spotify.com/v1/audio-analysis/73tUN6i5pduySUdrtGmhud,101840.0,4.0,,73tUN6i5pduySUdrtGmhud,The Union of the Great Islands (Comoros) [Arr. P. Breiner],The Union of the Great Islands (Comoros) 
43,0GM9oYyB8Z5kfNanNit4ri,0.572,0.203,5.0,-17.202,1.0,0.0283,0.876,0.873,0.062,0.537,106.863,audio_features,0GM9oYyB8Z5kfNanNit4ri,spotify:track:0GM9oYyB8Z5kfNanNit4ri,https://api.spotify.com/v1/tracks/0GM9oYyB8Z5kfNanNit4ri,https://api.spotify.com/v1/audio-analysis/0GM9oYyB8Z5kfNanNit4ri,197093.0,4.0,,0GM9oYyB8Z5kfNanNit4ri,The Congolese (Republic of the Congo) [Arr. P. Breiner],The Congolese (Republic of the Congo) 
44,6SWvbMv2tZncCOy1Hg4XNQ,0.295,0.176,0.0,-16.709,1.0,0.0413,0.685,0.546,0.0937,0.456,93.687,audio_features,6SWvbMv2tZncCOy1Hg4XNQ,spotify:track:6SWvbMv2tZncCOy1Hg4XNQ,https://api.spotify.com/v1/tracks/6SWvbMv2tZncCOy1Hg4XNQ,https://api.spotify.com/v1/audio-analysis/6SWvbMv2tZncCOy1Hg4XNQ,89333.0,3.0,,6SWvbMv2tZncCOy1Hg4XNQ,Arise Congolese (Democratic Republic of the Congo) [Arr. P. Breiner],Arise Congolese (Democratic Republic of the Congo) 
45,61tCfzIFPISHpCSYPxnWNO,0.625,0.104,3.0,-16.892,1.0,0.0332,0.969,0.938,0.0976,0.422,105.637,audio_features,61tCfzIFPISHpCSYPxnWNO,spotify:track:61tCfzIFPISHpCSYPxnWNO,https://api.spotify.com/v1/tracks/61tCfzIFPISHpCSYPxnWNO,https://api.spotify.com/v1/audio-analysis/61tCfzIFPISHpCSYPxnWNO,87000.0,4.0,,61tCfzIFPISHpCSYPxnWNO,Costa Rican National Anthem (Costa Rica) [Arr. P. Breiner],Costa Rican National Anthem (Costa Rica) 
46,29sHwMRXjZWYj2FwA8rYff,0.293,0.123,7.0,-14.755,1.0,0.0266,0.646,0.844,0.0611,0.348,66.128,audio_features,29sHwMRXjZWYj2FwA8rYff,spotify:track:29sHwMRXjZWYj2FwA8rYff,https://api.spotify.com/v1/tracks/29sHwMRXjZWYj2FwA8rYff,https://api.spotify.com/v1/audio-analysis/29sHwMRXjZWYj2FwA8rYff,64787.0,4.0,,29sHwMRXjZWYj2FwA8rYff,Our Beautiful Homeland (Croatia) [Arr. P. Breiner],Our Beautiful Homeland (Croatia) 
